tamanho,pop,dim,threads,tempo_medio_s,ic95_s,speedup,eficiencia,karp_flatt
P,800,200,1,1.399502,0.019476,1.0000,1.0000,
P,800,200,2,0.748920,0.013270,1.8687,0.9343,0.0703
P,800,200,4,0.466285,0.030124,3.0014,0.7503,0.1109
P,800,200,6,0.539269,0.017533,2.5952,0.4325,0.2624
P,800,200,8,0.474176,0.010537,2.9514,0.3689,0.2444
P,800,200,10,0.383385,0.002156,3.6504,0.3650,0.1933
P,800,200,12,0.350704,0.008901,3.9905,0.3325,0.1825
M,1500,300,1,4.003709,0.175110,1.0000,1.0000,
M,1500,300,2,2.094135,0.026529,1.9119,0.9559,0.0461
M,1500,300,4,1.440199,0.464905,2.7800,0.6950,0.1463
M,1500,300,6,1.291086,0.028106,3.1010,0.5168,0.1870
M,1500,300,8,1.227469,0.021971,3.2618,0.4077,0.2075
M,1500,300,10,1.087597,0.020641,3.6812,0.3681,0.1907
M,1500,300,12,0.960711,0.040192,4.1674,0.3473,0.1709
G,2500,400,1,8.813062,0.116963,1.0000,1.0000,
G,2500,400,2,4.600228,0.032249,1.9158,0.9579,0.0440
G,2500,400,4,2.810295,0.137642,3.1360,0.7840,0.0918
G,2500,400,6,2.768813,0.030219,3.1830,0.5305,0.1770
G,2500,400,8,2.471535,0.033773,3.5658,0.4457,0.1776
G,2500,400,10,2.378483,0.027303,3.7053,0.3705,0.1888
G,2500,400,12,2.109306,0.042072,4.1782,0.3482,0.1702
