pop,dim,gen,threads,load,seed,best_fitness,tempo_s,size_label,run
800,200,30,1,50,1001,-811.040919,1.437873,P,1
800,200,30,1,50,1002,-801.821412,1.431946,P,2
800,200,30,1,50,1003,-804.547172,1.377003,P,3
800,200,30,1,50,1004,-664.231042,1.378680,P,4
800,200,30,1,50,1005,-666.387519,1.441886,P,5
800,200,30,1,50,1006,-818.370758,1.376269,P,6
800,200,30,1,50,1007,-723.476938,1.375132,P,7
800,200,30,1,50,1008,-813.948654,1.383548,P,8
800,200,30,1,50,1009,-814.436815,1.397355,P,9
800,200,30,1,50,1010,-730.649304,1.395332,P,10
800,200,30,2,50,1001,-811.040919,0.739079,P,1
800,200,30,2,50,1002,-801.821412,0.733397,P,2
800,200,30,2,50,1003,-804.547172,0.741998,P,3
800,200,30,2,50,1004,-664.231042,0.786242,P,4
800,200,30,2,50,1005,-666.387519,0.728109,P,5
800,200,30,2,50,1006,-818.370758,0.755413,P,6
800,200,30,2,50,1007,-723.476938,0.727150,P,7
800,200,30,2,50,1008,-813.948654,0.760842,P,8
800,200,30,2,50,1009,-814.436815,0.753790,P,9
800,200,30,2,50,1010,-730.649304,0.763183,P,10
800,200,30,4,50,1001,-811.040919,0.546431,P,1
800,200,30,4,50,1002,-801.821412,0.429332,P,2
800,200,30,4,50,1003,-804.547172,0.423873,P,3
800,200,30,4,50,1004,-664.231042,0.513209,P,4
800,200,30,4,50,1005,-666.387519,0.460834,P,5
800,200,30,4,50,1006,-818.370758,0.508174,P,6
800,200,30,4,50,1007,-723.476938,0.434622,P,7
800,200,30,4,50,1008,-813.948654,0.464386,P,8
800,200,30,4,50,1009,-814.436815,0.433898,P,9
800,200,30,4,50,1010,-730.649304,0.448089,P,10
800,200,30,6,50,1001,-811.040919,0.501701,P,1
800,200,30,6,50,1002,-801.821412,0.513471,P,2
800,200,30,6,50,1003,-804.547172,0.532371,P,3
800,200,30,6,50,1004,-664.231042,0.524317,P,4
800,200,30,6,50,1005,-666.387519,0.534850,P,5
800,200,30,6,50,1006,-818.370758,0.548210,P,6
800,200,30,6,50,1007,-723.476938,0.543984,P,7
800,200,30,6,50,1008,-813.948654,0.570750,P,8
800,200,30,6,50,1009,-814.436815,0.583374,P,9
800,200,30,6,50,1010,-730.649304,0.539666,P,10
800,200,30,8,50,1001,-811.040919,0.484972,P,1
800,200,30,8,50,1002,-801.821412,0.464888,P,2
800,200,30,8,50,1003,-804.547172,0.462771,P,3
800,200,30,8,50,1004,-664.231042,0.470298,P,4
800,200,30,8,50,1005,-666.387519,0.496692,P,5
800,200,30,8,50,1006,-818.370758,0.464448,P,6
800,200,30,8,50,1007,-723.476938,0.458720,P,7
800,200,30,8,50,1008,-813.948654,0.464175,P,8
